measure,trait_covariate,covariates,description
cohort,covariate_categorical,,
nicsa_age,covariate_continuous,,
coatcolor,covariate_categorical,,
sex,covariate_categorical,,
rfid,metadata,,
_2014_vs_2020,covariate_categorical,,states whether the subject is a part of the 2014 experiments or 2020
comments,metadata,,
nicsa_first_three_days_infusion_median,trait,"cohort,nicsa_age,coatcolor,sex,_2014_vs_2020",Central nervous system; behavior: median of nicotine infusions during the first 3 (of 10) daily 2.5 h fixed ratio sessions; in male and female adolescent (postnataldays 41-51) heterogenous stock rats trained  using a socially acquired  nicotine intravenous self-administration procedure where licking was used as the operant response..nicsa_first_three_days_infusion_median
nicsa_last_three_days_infusion_median,trait,"cohort,nicsa_age,coatcolor,sex,_2014_vs_2020",Central nervous system; behavior: median of nicotine infusions during the last 3 (of 10) daily 2.5 h fixed ratio sessions; in male and female adolescent (postnataldays 41-51) heterogenous stock rats trained  using a socially acquired  nicotine intravenous self-administration procedure where licking was used as the operant response..nicsa_last_three_days_infusion_median
nicsa_first_three_days_activelick_median,trait,"cohort,nicsa_age,coatcolor,sex,_2014_vs_2020",Central nervous system; behavior: median of the number of licks on the active spout during the first 3 (of 10) daily 2.5 h sessions; in male and female adolescent (postnataldays 41-51) heterogenous stock rats trained  using a socially acquired  nicotine intravenous self-administration procedure where licking was used as the operant response..nicsa_first_three_days_activelick_median
nicsa_last_three_days_activelick_median,trait,"cohort,nicsa_age,coatcolor,sex,_2014_vs_2020",Central nervous system; behavior: median of the number of licks on the active spout during the last 3 (of 10) daily 2.5 h fixed ratio sessions; in male and female adolescent (postnataldays 41-51) heterogenous stock rats trained  using a socially acquired  nicotine intravenous self-administration procedure where licking was used as the operant response..nicsa_last_three_days_activelick_median
nicsa_active_inactive_ratio_all_days,trait,"cohort,nicsa_age,coatcolor,sex,_2014_vs_2020",Central nervous system; behavior: ratio of licks on the active over inactive spout for all 11 sessions; .nicsa_active_inactive_ratio_all_days
nicsa_slope_nicotine_infusion,trait,"cohort,nicsa_age,coatcolor,sex,_2014_vs_2020",Central nervous system; behavior: Nicotine intravenous self-administration (NicIVSA) mediated by a social cue; slope of change in infusions per session over 10 daily 2.5 h sessions in juveniles (41 to 51 day-old males and females) (Hao Chen laboratory.UTHSC) [SA change rate]
